#options: 1920x1080 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=4147 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:27.19 aq:20.45 tex:262103 mv:84614 misc:6147 imb:8160 pmb:0 smb:0 d:- ref:;
in:3 out:1 type:P dur:2 cpbdur:2 q:32.38 aq:25.20 tex:75468 mv:54059 misc:4809 imb:4163 pmb:2728 smb:1269 d:- ref:0 ;
in:1 out:2 type:B dur:2 cpbdur:2 q:32.38 aq:25.15 tex:28911 mv:39732 misc:8125 imb:925 pmb:3456 smb:3779 d:s ref:0 ;
in:2 out:3 type:b dur:2 cpbdur:2 q:32.38 aq:25.84 tex:20643 mv:30325 misc:7912 imb:835 pmb:2425 smb:4900 d:- ref:0 ;
in:5 out:4 type:P dur:2 cpbdur:2 q:30.30 aq:23.71 tex:110129 mv:65662 misc:1273 imb:4566 pmb:3455 smb:139 d:s ref:0 ;
in:4 out:5 type:b dur:2 cpbdur:2 q:31.34 aq:24.70 tex:25386 mv:24053 misc:7977 imb:548 pmb:2756 smb:4856 d:s ref:0 ;
in:7 out:6 type:P dur:2 cpbdur:2 q:29.96 aq:22.90 tex:133588 mv:69308 misc:1448 imb:4807 pmb:3190 smb:163 d:s ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:30.13 aq:23.79 tex:35681 mv:33819 misc:8308 imb:808 pmb:3434 smb:3918 d:s ref:0 ;
in:11 out:8 type:P dur:2 cpbdur:2 q:30.02 aq:23.79 tex:141162 mv:70156 misc:666 imb:5196 pmb:2954 smb:10 d:s ref:0 ;
in:9 out:9 type:B dur:2 cpbdur:2 q:29.99 aq:23.45 tex:66598 mv:51439 misc:7075 imb:1512 pmb:4314 smb:2334 d:s ref:0 ;
in:8 out:10 type:b dur:2 cpbdur:2 q:29.97 aq:24.15 tex:49178 mv:41164 misc:7890 imb:878 pmb:4274 smb:3008 d:s ref:0 ;
in:10 out:11 type:b dur:2 cpbdur:2 q:30.00 aq:23.84 tex:35962 mv:30392 misc:8286 imb:656 pmb:3417 smb:4087 d:- ref:0 ;
